Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Danh mục,Thể Loại,Đơn vị,Kích thước,Chieu_Dai_Max (mm),Chieu_Rong_Max (mm),Chieu_Cao_Max (mm),Kich_Thuoc_Hop_Tho (mm),Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Đá xanh Bình Định,Đá trắng Yên Bái,Có ảnh
M26,Mộ 3 cấp - KT: 2350X1330X810mm,,An Tâm,Mộ,ngôi,KT: D2350XR1330XC810mm,2350,1330,810,,0.84,2.520,35840000,47040000,53118000,113647000,"Đế 1 và đế 2 ghép từ 4 khối.
Nắp mộ liền khối",58059000,40320000,TRUE
M27,Mộ 2 cấp - KT: 1270X810X860mm,,Trường Tồn,Mộ,ngôi,KT: D1270XR810XC860mm,1270,810,860,,0.254,0.762,11953000,15688000,17337000,35951000,liền khối các thớt,18949000,13447000,TRUE
M28,Mộ 3 cấp - KT: 2350X1330X470mm,,An Tâm,Mộ,ngôi,KT: D2350XR1330XC810mm,2350,1330,810,,0.793,2.379,33835000,44408000,50146000,107288000,"Đế 1 và đế 2 ghép từ 4 khối.
Nắp mộ liền khối",54810000,38064000,TRUE
M29,Mộ KT: 2120X1160X1250mm,,An Tâm,Mộ,ngôi,KT: D2120XR1160XC1250mm,2120,1160,1250,,0.479,1.437,20437000,26824000,30290000,64806000,liền khối các thớt,33107000,22992000,TRUE
M30,Mộ 3 cấp - KT: 1270X810X660mm,,Trường Tồn,Mộ,ngôi,KT: D1270XR810XC660mm,1270,810,660,,0.273,0.819,12847000,16862000,18633000,38640000,liền khối các thớt,20367000,14453000,TRUE
M31,Mộ 3 cấp - KT: 1270X810X660mm,,Trường Tồn,Mộ,ngôi,KT: D1270XR810XC660mm,1270,810,660,,0.26,0.780,12235000,16059000,17746000,36800000,liền khối các thớt,19397000,13765000,TRUE
M32,Mộ 3 cấp - KT: 1270X810X890mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC890mm,1270,810,890,,0.323,0.969,13781000,18088000,20425000,43700000,liền khối các thớt,22325000,15504000,TRUE
M33,Mộ 2 cấp - KT: 1070X690X560mm,,An Tâm,Mộ,ngôi,KT: D1070xR690xC560mm,1070,690,560,,0.174,0.522,7424000,9744000,11003000,23541000,liền khối các thớt,12026000,8352000,TRUE
M34,Mộ 3 cấp - KT: 1270x810x890mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC890mm,1270,810,890,,0.365,1.095,15573000,20440000,23081000,49382000,liền khối các thớt,25228000,17520000,TRUE
M35,Mộ 3 cấp - KT: 1270x810x970mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC970mm,1270,810,970,,0.353,1.059,15061000,19768000,22322000,47759000,liền khối các thớt,24399000,16944000,TRUE
M36,Mộ 3 cấp - KT: 1270x810x870mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC870mm,1270,810,870,,0.318,0.954,13568000,17808000,20109000,43024000,liền khối các thớt,21979000,15264000,TRUE
M38,Mộ 3 cấp - KT: 1270x810x950mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC950mm,1270,810,950,,0.3,0.900,12800000,16800000,18971000,40588000,Đế 1-Đế 2 ghép từ 4 khối,20735000,14400000,TRUE
M39,Mộ mái - KT: 1370x970x1390mm,,Trường Tồn,Mộ,ngôi,KT: D1370xR970xC1390mm,1370,970,1390,,1.034,3.102,48659000,63865000,70575000,146351000,,77140000,54741000,TRUE
MD01,Mộ đôi - KT:1870x1470x2190mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT:D1870xR1470xC2190mm,1870,1470,2190,,1.55,4.650,72941000,95735000,105794000,219385000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",115635000,82059000,TRUE
